title,genres,release_date,budget,revenue,id
Inception,"Action, Science Fiction, Adventure",2010-07-15,160000000,825532764,27205
Interstellar,"Adventure, Drama, Science Fiction",2014-11-05,165000000,701729206,157336
The Dark Knight,"Drama, Action, Crime, Thriller",2008-07-16,185000000,1004558444,155
Avatar,"Action, Adventure, Fantasy, Science Fiction",2009-12-15,237000000,2923706026,19995
The Avengers,"Science Fiction, Action, Adventure",2012-04-25,220000000,1518815515,24428
Deadpool,"Action, Adventure, Comedy",2016-02-09,58000000,783100000,293660
Avengers: Infinity War,"Adventure, Action, Science Fiction",2018-04-25,300000000,2052415039,299536
Fight Club,Drama,1999-10-15,63000000,100853753,550
Guardians of the Galaxy,"Action, Science Fiction, Adventure",2014-07-30,170000000,772776600,118340
Pulp Fiction,"Thriller, Crime",1994-09-10,8500000,213900000,680
Forrest Gump,"Comedy, Drama, Romance",1994-06-23,55000000,677387716,13
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy",2001-11-16,125000000,976475550,671
Iron Man,"Action, Science Fiction, Adventure",2008-04-30,140000000,585174222,1726
Django Unchained,"Drama, Western",2012-12-25,100000000,425368238,68718
The Shawshank Redemption,"Drama, Crime",1994-09-23,25000000,28341469,278
Avengers: Endgame,"Adventure, Science Fiction, Action",2019-04-24,356000000,2800000000,299534
The Matrix,"Action, Science Fiction",1999-03-30,63000000,463517383,603
Titanic,"Drama, Romance",1997-11-18,200000000,2264162353,597
Joker,"Crime, Thriller, Drama",2019-10-01,55000000,1074458282,475557
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",2001-12-18,93000000,871368364,120
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",2003-12-01,94000000,1118888979,122
Shutter Island,"Drama, Thriller, Mystery",2010-02-14,80000000,294800000,11324
The Wolf of Wall Street,"Crime, Drama, Comedy",2013-12-25,100000000,392000000,106646
Avengers: Age of Ultron,"Action, Adventure, Science Fiction",2015-04-22,365000000,1405403694,99861
Captain America: Civil War,"Adventure, Action, Science Fiction",2016-04-27,250000000,1155046416,271110
The Dark Knight Rises,"Action, Crime, Drama, Thriller",2012-07-17,250000000,1081041287,49026
Iron Man 3,"Action, Adventure, Science Fiction",2013-04-18,200000000,1215577205,68721
Black Panther,"Action, Adventure, Science Fiction",2018-02-13,200000000,1349926083,284054
Doctor Strange,"Action, Adventure, Fantasy",2016-10-25,180000000,676343174,284052
Mad Max: Fury Road,"Action, Adventure, Science Fiction",2015-05-13,150000000,378858340,76341
Inglourious Basterds,"Drama, Thriller, War",2009-08-19,70000000,321457747,16869
